id,title,genres,overview,vote_average,cast,mood,poster_url 1,"The Shawshank
Redemption","Drama","Two imprisoned men bond over a number of years, finding
solace and eventual redemption through acts of common decency.",9.3,"Tim
Robbins, Morgan Freeman, Bob
Gunton","sad","https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=400&q=80"
2,"The Dark Knight","Action, Crime, Drama","When the menace known as the Joker
wreaks havoc and chaos on the people of Gotham, Batman must accept one of the
greatest psychological and physical tests of his ability to fight
injustice.",9.0,"Christian Bale, Heath Ledger, Aaron
Eckhart","vibe","https://images.unsplash.com/photo-1505118380757-91f5f5632de0?w=400&q=80"
3,"Inception","Action, Adventure, Sci-Fi","A thief who steals corporate secrets
through the use of dream-sharing technology is given the inverse task of
planting an idea into the mind of a C.E.O.",8.8,"Leonardo DiCaprio, Joseph
Gordon-Levitt, Elliot
Page","vibe","https://images.unsplash.com/photo-1444703686981-a3abbc4d4fe3?w=400&q=80"
4,"Forrest Gump","Drama, Romance","The presidencies of Kennedy and Johnson, the
Vietnam War, the Watergate scandal and other historical events unfold from the
perspective of an Alabama man with an IQ of 75.",8.8,"Tom Hanks, Robin Wright,
Gary
Sinise","happy","https://images.unsplash.com/photo-1476480862126-209bfaa8edc8?w=400&q=80"
5,"The Matrix","Action, Sci-Fi","When a beautiful stranger leads computer hacker
Neo to a forbidding underworld, he discovers the shocking truth about the life
he knows.",8.7,"Keanu Reeves, Laurence Fishburne, Carrie-Anne
Moss","vibe","https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=400&q=80"
6,"Titanic","Drama, Romance","A seventeen-year-old aristocrat falls in love with
a kind but poor artist aboard the luxurious, ill-fated R.M.S.
Titanic.",7.9,"Leonardo DiCaprio, Kate Winslet, Billy
Zane","love","https://images.unsplash.com/photo-1500462918059-b1a0cb512f1d?w=400&q=80"
7,"The Avengers","Action, Adventure, Sci-Fi","Earth's mightiest heroes must come
together and learn to fight as a team if they are going to stop the mischievous
Loki and his alien army from enslaving humanity.",8.0,"Robert Downey Jr., Chris
Evans, Scarlett Johansson","friends
together","https://images.unsplash.com/photo-1561149877-84d257321581?w=400&q=80"
8,"The Lion King","Animation, Adventure, Drama","Lion prince Simba and his
father are targeted by his bitter uncle, who wants to ascend the throne
himself.",8.5,"Matthew Broderick, Jeremy Irons, James Earl
Jones","happy","https://images.unsplash.com/photo-1517825738774-7de9363ef735?w=400&q=80"
9,"Jurassic Park","Action, Adventure, Sci-Fi","A pragmatic paleontologist
touring an almost complete theme park is tasked with protecting a couple of kids
after a power failure causes the cloned dinosaurs to run loose.",8.2,"Sam Neill,
Laura Dern, Jeff
Goldblum","vibe","https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=400&q=80"
10,"Harry Potter and the Sorcerer's Stone","Adventure, Family, Fantasy","An
orphaned boy enrolls in a school of wizardry, where he learns the truth about
himself, his family and the terrible evil that haunts the magical
world.",7.6,"Daniel Radcliffe, Rupert Grint, Emma Watson","friends
together","https://images.unsplash.com/photo-1511268559489-34b624fbfcf5?w=400&q=80"
11,"Star Wars: Episode IV - A New Hope","Action, Adventure, Fantasy","Luke
Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two
droids to save the galaxy from the Empire's world-destroying battle
station.",8.6,"Mark Hamill, Harrison Ford, Carrie Fisher","friends
together","https://images.unsplash.com/photo-1596727147705-611529ce1205?w=400&q=80"
